ID,Name,Concepticon_ID,Concepticon_Gloss,Description
damnedupdriedupofwaterinthehollowofatree,"damned up, dried up [of water in the hollow of a tree]",,,
beawake,be awake,,,
asmallsnake,a small snake,,,
todwell,to dwell,,,
todig,to dig,,,
digwithashovel,dig with a shovel,,,
gathertaro,gather taro,,,
toblowasaconchshelltoblowsomethingoutofthemouth,"to blow [as a conch shell], to blow something out of the mouth",,,
tosetupafishnet,to set up (a fish net),,,
thighgroin,"thigh, groin",,,
fillupwithliquid,fill up with liquid,,,
tosinge,to singe,,,
justnowrecently,"just now, recently",,,
pushupthestonesoftheearthovenwithastick,push up the stones of the earth oven with a stick,,,
makeavinebindingforaclimbersfeet,make a vine binding for a climberʻs feet,,,
tocoilrope,to coil [rope],,,
manofaplaceorclan,man of a place or clan,,,
topeeraroundorafterwithoutbeingseen,to peer around or after without being seen,,,
tostampdown,to stamp down,,,
asawtoothdesign,a sawtooth design,,,
nodonesheadup,nod one's head up,,,
toburnofaburn,to burn [of a burn],,,
verticalwallpole,vertical wall pole,,,
houseposts,house posts,,,
tostrikewiththefingertapasatattooingneedle,"to strike with the finger, tap [as a tattooing needle]",,,
radialrootsofatree,radial roots of a tree,,,
toquakeshake,"to quake, shake",,,
men,men,,,
takehostagesfromoneanotheraspartofpeacesettlement,take hostages from one another as part of peace settlement,,,
customs,customs,,,
basereasoncause,"base, reason, cause",,,
takeholdof,take hold of,,,
underneath,underneath,,,
handarmleaf,"hand, arm, leaf",,,
handarmpartleaf,"hand, arm, part, leaf",,,
ear,ear,,,
toputbury,"to put, bury",,,
toliftcarry,"to lift, carry",,,
mothbutterfly,"moth, butterfly",,,
tocloseahole,to close a hole,,,
toholdcatchtaketouch,"to hold, catch, take, touch",,,
dowithhelp,"do with, help",,,
toweaveplait,"to weave, plait",,,
givesuckto,give suck to,,,
toeat,to eat,,,
mymouth,my mouth,,,
afeast,a feast,,,
roundaround,"round, around",,,
tobuffetasthewind,to buffet (as the wind),,,
discernbycastinglots,discern by casting lots,,,
topinch,to pinch,,,
stoneaxe,stone axe,,,
in,in,,,
tolookorseemappearance,"to look or seem, appearance",,,
cavehole,"cave, hole",,,
fathervocative,father [vocative],,,
behealed,be healed,,,
tomendpatch,"to mend, patch",,,
tolive,to live,,,
innerharbor,inner harbor,,,
takefromseparatedivide,"take from, separate, divide",,,
stomachbelly,"stomach, belly",,,
largecanoe,large canoe,,,
toreturngoback,"to return, go back",,,
windtoblow,"wind, to blow",,,
bewitheredripe,"be withered, ripe",,,
toenter,to enter,,,
cloudstorm,"cloud, storm",,,
toprepareclearapathsweep,"to prepare, clear a path, sweep",,,
godown,go down,,,
shine,shine,,,
breastsuckle,"breast, suckle",,,
todivesetofheavenlybodies,"to dive, set [of heavenly bodies]",,,
badevil,"bad, evil",,,
waypath,"way, path",,,
tosprinkle,to sprinkle,,,
tomoveasafantofan,"to move as a fan, to fan",,,
hill,hill,,,
tohitpossesshave,"to hit, possess, have",,,
bethickdeep,"be thick, deep",,,
blow,blow,,,
towipeanoint,"to wipe, anoint",,,
tomumblemew,"to mumble, mew",,,
crunchtheteeth,crunch the teeth,,,
rubwithoilasamedicaltreatmentmassage,"rub with oil as a medical treatment, massage",,,
toturnonesbackonsomeone,to turn one's back on someone,,,
stormtyphoon,"storm, typhoon",,,
rainstormthatisthesignofachiefcoming,rain storm that is the sign of a chief coming,,,
sir,sir,,,
roughofskin,rough (of skin),,,
tosmoke,to smoke,,,
fingertoe,"finger, toe",,,
childkidtoddler,"child, kid, toddler",,,
lineageheadmaternaluncleoldman,"lineage head, maternal uncle, old man",,,
dizzyswaybackandforthnod,"dizzy, sway back and forth, nod",,,
flowerbud,flower bud,,,
lefthandlefthalfofhumanbody,"left hand, left half of human body",,,
wintertimedryseason,"wintertime, dry season",,,
ininside,"in, inside",,,
notknow,not know,,,
spurcutwithspurskick,"spur, cut with spurs, kick",,,
wastelandnotgarden,wasteland (not garden),,,
beckonwithdownwardmotionofhandorbywavingarm,beckon with downward motion of hand or by waving arm,,,
smalltiny,"small, tiny",,,
wantlikewish,"want, like, wish",,,
signsymbol,"sign, symbol",,,
togrindwiththeteethnoisilycrunchmunch,"to grind with the teeth noisily, crunch, munch",,,
mirror,mirror,,,
halfflowerscaevola,half flower (_Scaevola_),,,
coveranearthovenwithleaves,cover an earth oven with leaves,,,
throwawaytrash,throw away trash,,,
stomachbellyabdomen,"stomach, belly, abdomen",,,
insideofthighcrotch,"inside of thigh, crotch",,,
darkdarkness,"dark, darkness",,,
coconutnearlyripe,"coconut, nearly ripe",,,
overripebreadfruit,overripe breadfruit,,,
deepprofound,"deep, profound",,,
cool,cool,,,
interiorofanislandfromthelagoonsideonly,interior of an island from the lagoon side only,,,
crumbledshatteredbrokeninbits,"crumbled, shattered, broken in bits",,,
completesatisfyperfect,"complete, satisfy, perfect",,,
chillycool,"chilly, cool",,,
gratecoconutsgrater,"grate coconuts, grater",,,
outriggersideofacanoe,outrigger side of a canoe,,,
maleflowerofbreadfruit,male flower of breadfruit,,,
gototheinteriorofanisletpenetrate,go to the interior of an islet; penetrate,,,
hidebeobscured,"hide, be obscured",,,
landtractof,land tract of,,,
tremblequake,"tremble, quake",,,
fireplaceashes,"fireplace, ashes",,,
beoverturnedcapsized,"be overturned, capsized",,,
bechanged,be changed,,,
tosmellsomething,to smell (something),,,
lightenship,lighten ship,,,
toloadhaul,"to load, haul",,,
come,come,,,
onupontopsurfaceover,"on, upon, top, surface, over",,,
interiorofanisland,interior of an island,,,
totryexamineinspect,"to try, examine, inspect",,,
cookfishonstones,cook fish on stones,,,
astarinscorpioprefixindicatesamansname,a star in Scorpio (prefix indicates a man's name),,,
myofmesuffixedpossessivepronoun,"my, of me (suffixed possessive pronoun)",,,
foursuffixtopronouns,four (suffix to pronouns),,,
suffixinplacenamesuppereastern,"(suffix in place names) ‘upper, eastern",,,
toducklowertheheadhumbleoneselfbowdown,"to duck, lower the head, humble oneself, bow down",,,
totakecarryreceivegetcapturesomething,"to take, carry, receive, get, capture (something)",,,
tiesomething,tie something,,,
falldownonsomeoneorsomething,fall down on someone or something,,,
arithmeticcountauditcompute,"arithmetic, count, audit, compute",,,
toothlessshark,toothless shark,,,
coveredover,covered over,,,
coveringofclothingof,"covering of, clothing of",,,
rock,rock,,,
latetoolateforsomething,"late, too late for something",,,
swollenswelllump,"swollen, swell, lump",,,
totakecarry,"to take, carry",,,
basketoffineweavepocketpouch,"basket of fine weave, pocket, pouch",,,
bloom,bloom,,,
cracksinskinofsolesoffeet,cracks in skin of soles of feet,,,
besplitopenspreadlegswideopen,"be split open, spread legs wide open",,,
leftoverresultofdivination,"left over, result of divination",,,
begingoing,begin going,,,
lightinweight,light in weight,,,
blockcloggedobstructedconstipatedstymied,"block, clogged, obstructed, constipated, stymied",,,
triggerfish,trigger fish,,,
southerncross,Southern Cross,,,
tokickbekicking,"to kick, be kicking",,,
kickadance,"kick, a dance",,,
flockorcrowdof,flock or crowd of,,,
aplantcyperusferax,a plant (_Cyperus ferax_),,,
knee,knee,,,
burnhotfever,"burn, hot, fever",,,
sap,sap,,,
filthydirty,"filthy, dirty",,,
unicornfish,unicorn fish,,,
breakcreasefracturesomething,"break, crease, fracture (something)",,,
gummyresin,"gummy, resin",,,
uvulaesophagus,"uvula, esophagus",,,
tieaknotdivinationusingknots,tie a knot; divination using knots,,,
appearorcomeintoexistence,appear or come into existence,,,
falldown,fall down,,,
spearhandle,spear handle,,,
toboilofwateronly,to boil (of water only),,,
mistakeerrorwrong,"mistake, error, wrong",,,
swollencorpse,swollen corpse,,,
taropatch,taro patch,,,
seatoftheemotionsthroatheartgills,"seat of the emotions, throat, heart, gills",,,
disobedientnaughtydisobeysomeone,"disobedient, naughty, disobey someone",,,
knotindivination,knot in divination,,,
crazysillyfoolish,"crazy, silly, foolish",,,
heartoftreerootofmattercorepith,"heart of tree, root of matter, core, pith",,,
bivalveshellshellknifeorgrater,"bivalve shell, shell knife or grater",,,
foreheadbrowgable,"forehead, brow, gable",,,
tolick,to lick,,,
licksomething,lick (something),,,
waterliquidjuice,"water, liquid, juice",,,
basefoundationbottomstemtrunk,"base, foundation, bottom, stem, trunk",,,
dye,dye,,,
clingtosticktoadheresticky,"cling to, stick to, adhere, sticky",,,
heavyheaviness,"heavy, heaviness",,,
flutterfloparound,"flutter, flop around",,,
throb,throb,,,
noisy,noisy,,,
stonerockgravel,"stone, rock, gravel",,,
followersof,followers of,,,
defecatefromtreesofbirds,defecate from trees (of birds),,,
wearearrings,wear (earrings),,,
bowonesheadbend,"bow one's head, bend",,,
jerkafishlinetohookafish,jerk a fish line to hook a fish,,,
gathertodance,gather to dance,,,
possessiveclassifierforthingswornontheears,possessive classifier for things worn on the ears,,,
netforwashingarrowrootandsoakingbreadfruit,net for washing arrowroot and soaking breadfruit,,,
carrytuckedunderonearm,carry tucked under one arm,,,
alienableobjectwithpossessivesuffixacquireanalienableobject,"alienable object (with possessive suffix), acquire an alienable object",,,
schoolofbonitotrappedinalagoon,school of bonito trapped in a lagoon,,,
handofbananasbunchofpandanuskeys,"hand of bananas, bunch of pandanus keys",,,
throwstonesrepeatedly,throw stones repeatedly,,,
singsongmusic,"sing, song, music",,,
provisionsstorehouse,"provisions, storehouse",,,
tolureafish,to lure (a fish),,,
baitluretochumforfish,"bait, lure, to chum for fish",,,
god,god,,,
spellenchantmentmagicsorcery,"spell, enchantment, magic, sorcery",,,
castaspellonsomeone,cast a spell on someone,,,
stonemarkersalongroad,stone markers along road,,,
lagoonbeach,lagoon beach,,,
miserlycovetousgreedystingy,"miserly, covetous, greedy, stingy,",,,
africanpompanohynniscubensis,African pompano (_Hynnis cubensis_),,,
stirorpokefoodorfirewithastick,stir or poke food or fire with a stick,,,
pickoutfoodfromteethpickoutsplintersextricateasmeatfromaclam,"pick out food from teeth, pick out splinters, extricate (as meat from a clam)",,,
stirorpokesomething,stir or poke (something),,,
picksomethingout,pick something out,,,
lowerjaw,lower jaw,,,
upperjaw,upper jaw,,,
plantedvine,"planted, vine",,,
tosmokedryfishorcoprabyheat,"to smoke, dry fish or copra by heat",,,
brownlandcrab,brown land crab,,,
shoulder,shoulder,,,
skinnythinofbody,"skinny, thin of body",,,
towasaboatpulldraw,"tow (as a boat), pull, draw",,,
towpull,"tow, pull",,,
towsomething,tow something,,,
fishcaughtbyencircling,fish caught by encircling,,,
drawwater,draw (water),,,
deafhardofhearing,"deaf, hard of hearing",,,
seldomplaynotbeathletic,"seldom play, not be athletic",,,
notfuture,not (future),,,
pointofendof,"point of, end of",,,
taboo,taboo,,,
turnavehicle,turn a vehicle,,,
asnapper,a snapper,,,
shellofturtleorcrab,shell of turtle or crab,,,
rollorcoiluprope,roll or coil up (rope),,,
rolluporcoil,roll up or coil,,,
meatcoursesaucegravy,"meat course, sauce, gravy",,,
skindiseasewhitespotsonskin,"skin disease, white spots on skin",,,
fingercrabclawfingerof,"finger, crab claw, finger of",,,
cheek,cheek,,,
woodenbowlconstellationdelphinus,"wooden bowl, constellation Delphinus",,,
crowdanygroupofpeopleasaclassunitordivision,"crowd, any group of people as a class, unit, or division",,,
praygotochurch,"pray, go to church",,,
beformerlyusedtobe,"be formerly, used to be",,,
ignitestartofafirerunofanengine,"ignite, start (of a fire), run (of an engine)",,,
slipundergroundorsandoffishplaceinsandwhereturtlelayseggsorcoconutcrabmolts,"slip under ground or sand (of fish), place in sand where turtle lays eggs or coconut crab molts",,,
agiantseabassofgenusprimicropsseabassofgenusplectropomus,"a giant sea bass of genus _Primicrops_, sea bass of genus _Plectropomus_",,,
tocutchop,"to cut, chop",,,
tocatchafallingobjectorfruit,to catch (a falling object or fruit),,,
crycryforsomeone,"cry, cry for (someone)",,,
toface,to face,,,
toloosenunwindunsnarl,"to loosen, unwind, unsnarl",,,
weinclusiveareto,we (inclusive) are to,,,
turtlewithmutlicoloredshell,turtle with mutli-colored shell,,,
tocuthewchopprunesalutewiththehands,"to cut, hew, chop, prune, salute with the hands",,,
raftersofahouse,rafters (of a house),,,
coprapiecestakenoutoftheshell,copra pieces taken out of the shell,,,
tosettleofliquidsalighttoland,"to settle (of liquids), alight, to land",,,
canewalkingstick,"cane, walking stick",,,
windfromthenorth,wind from the north,,,
cuthackchopoffsplitslashsomething,"cut, hack, chop off, split, slash (something)",,,
supportholdup,"support, hold up",,,
squirrelfish,squirrel fish,,,
misfortunebadluck,"misfortune, bad luck",,,
sailaway,sail away,,,
gosailing,go sailing,,,
beableto,be able to,,,
drinkupsuckupabsorb,"drink up, suck up, absorb",,,
calmspellofweather,calm spell (of weather),,,
agoatfishmulloidichthysauriflama,a goatfish (_Mulloidichthys auriflama_),,,
pressdownonweighdownonsomething,"press down on, weigh down on (something)",,,
outriggerspartiesbetweensparandoutrigger,"outrigger spar, ties between spar and outrigger",,,
soak,soak,,,
tiesbetweensparandoutrigger,ties between spar and outrigger,,,
paininarmcausedbythrowing,pain in arm caused by throwing,,,
push,push,,,
grandmothergrandchild,"grandmother, grandchild",,,
poundbreadfruitortaro,pound breadfruit or taro,,,
poundormashit,pound or mash it,,,
smokeoutsmudge,"smoke out, smudge",,,
broilonhotstones,broil on hot stones,,,
helpaid,"help, aid",,,
headinacertaindirection,head in a certain direction,,,
toask,to ask,,,
steponsetfootontreadonkick,"step on, set foot on, tread on, kick",,,
seeoffonavoyage,see off on a voyage,,,
heartofpalm,heart of palm,,,
coreofcoconuttreeatupperendgrowthfromoldrootorbranchyoungshootbudforthsprout,"core of coconut tree at upper end, growth from old root or branch, young shoot, bud forth, sprout",,,
slipperylubrication,"slippery, lubrication",,,
sharpenwhet,"sharpen, whet",,,
placeofwork,place of work,,,
cutoffshortenmow,"cut off, shorten, mow",,,
coarsefloormat,coarse floor mat,,,
inheritance,inheritance,,,
matrilinealclan,matrilineal clan,,,
pileofcoconuts,pile of coconuts,,,
pillarcolumnpostpolepostof,"pillar, column, post, pole, post of",,,
clothesomeone,clothe someone,,,
throwanet,throw (a net),,,
useathrowingnet,use a throwing net,,,
sendacommandtoinform,"send a command to, inform",,,
steerdirectlyfor,steer directly for,,,
idiomlanguagemottopunsayingslang,"idiom, language, motto, pun, saying, slang",,,
bigblackant,big black ant,,,
rollorboltofcloth,roll or bolt of cloth,,,
rubsomeonewithoil,rub (someone) with oil,,,
oilwithpossessivesuffix,oil (with possessive suffix),,,
scrape,scrape,,,
scratchscrape,"scratch, scrape",,,
toscalefish,to scale (fish),,,
cutoutcoprameatfromtheshell,cut out copra meat from the shell,,,
bewithaccompany,"be with, accompany",,,
horizontalrafter,horizontal rafter,,,
wrasseepibulusinsidiator,wrasse (_Epibulus insidiator_),,,
fetusembryostillbornbaby,"fetus, embryo, still-born baby",,,
caughtonahook,caught on a hook,,,
blanketblanketofpossclassifier,"blanket, blanket of (poss. classifier)",,,
useablanket,use a blanket,,,
northeasttradewind,northeast tradewind,,,
turnshiftchangeasofwind,"turn, shift, change (as of wind)",,,
treetreetrunktorso,"tree, tree trunk, torso",,,
loinclothdiaper,"loin cloth, diaper",,,
cloudovercast,"cloud, overcast",,,
crackedsplitchink,"cracked, split, chink",,,
cutitout,cut (it) out,,,
tentaclestrandofropeorwire,"tentacle, strand of rope or wire",,,
announcement,announcement,,,
crestedtern,crested tern,,,
bitesomething,bite (something),,,
lousebacteriumbugflea,"louse, bacterium, bug, flea",,,
recognizerealizedistinguishbefamiliarwithidentifynoticeperceive,"recognize, realize, distinguish, be familiar with, identify, notice, perceive",,,
closeittight,close it tight,,,
pinchwithfingernails,pinch with fingernails,,,
possessiveclassifierformats,possessive classifier for mats,,,
woundscar,"wound, scar",,,
bewoundedmarred,"be wounded, marred",,,
totickle,to tickle,,,
ticklesomeone,tickle (someone),,,
matusedtocoveracorpsetowrapabody,"mat used to cover a corpse, to wrap (a body)",,,
sideofahousewall,"side of a house, wall",,,
aplantcrinumasiaticum,a plant (_Crinum asiaticum_),,,
repeatedlyusuallytendtoaptto,"repeatedly, usually, tend to, apt to",,,
stronggreatcapacity,"strong, great capacity",,,
callcrowinvitationsummons,"call, crow, invitation, summons",,,
closetightasaclam,close tight (as a clam),,,
fastbeatingoftheheart,fast beating of the heart,,,
attachmentjoint,"attachment, joint",,,
tofrequentstayintouchwithdistributiveinform,"to frequent, stay in touch with (distributive in form)",,,
easterndialect,(eastern dialect),,,
usedtoformerhabit,used to (former habit),,,
bundleofmats,bundle of mats,,,
dolphinfishcoryphoenahippurus,dolphin fish (_Coryphoena hippurus_),,,
porpoise,porpoise,,,
tosewstitch,"to sew, stitch",,,
independentpronoun,(independent pronoun),,,
coconuthuskfiber,"coconut husk, fiber",,,
semipalmatesandpiper,semipalmate sandpiper,,,
possessiveclassifieracatchoffishcrabsorbirds,"(possessive classifier) a catch (of fish, crabs, or birds)",,,
pullbacktheforeskin,pull back the foreskin,,,
coconutfibersennitmakesennit,"coconut fiber sennit, make sennit",,,
tobendsomething,to bend (something),,,
extinguishgooutofalightputoutafiredeflate,"extinguish, go out (of a light), put out a fire, deflate",,,
tograbsqueezechokeembrace,"to grab, squeeze, choke, embrace",,,
bentcurvedbuckledstooped,"bent, curved, buckled, stooped",,,
goldenplover,golden plover,,,
stomach,stomach,,,
oceansea,"ocean, sea",,,
atprefixinplacenamesandbodyparts,at; prefix in place names and body parts,,,
skyweatherheaven,"sky, weather, heaven",,,
belowbottomdowndownward,"below, bottom; down, downward",,,
seesomething,see something,,,
maam,ma'am,,,
agreatdistancefar,"a great distance, far",,,
neitherhighnorlowinbetween,"neither high nor low, in between",,,
nit,nit,,,
anycowrieshellanyshell,"any cowrie shell, any shell",,,
behindinbackofoutsideofoceansideof,"behind, in back of, outside of, ocean side of",,,
tosetofhenslayeggs,"to set (of hens), lay eggs",,,
oceansideof,ocean side of,,,
tosiftstrainfilterdigest,"to sift, strain, filter, digest",,,
preparedness,preparedness,,,
middleofwaist,"middle of, waist",,,
foldsomething,fold something,,,
folded,folded,,,
packagetofoldpack,"package; to fold, pack",,,
murkywaterfinesandinsearoiledturbid,"murky water; fine sand in sea; roiled, turbid",,,
moss,moss,,,
beseasickdisgusted,"be seasick, disgusted",,,
seedetectfind,"see, detect, find",,,
considerconstrue,"consider, construe",,,
leaveputdeposit,"leave, put, deposit",,,
gravetomb,"grave, tomb",,,
bepreparedforthetaskathand,be prepared for the task at hand,,,
foldwrap,"fold, wrap",,,
foldwrappackage,"fold, wrap, package",,,
firmstrongsolid,"firm, strong, solid",,,
ripen,ripen,,,
clearedspaceopenfield,"cleared space, open field",,,
toclearland,to clear (land),,,
emptynomoreallgoneexhausted,"empty, no more, all gone, exhausted",,,
pandanusleaf,pandanus leaf,,,
parrotfishscarusjonesisordiduswrassecheilinussp,"parrotfish (_Scarus jonesi/sordidus_), wrasse (_Cheilinus_ sp.)",,,
altairconstellationcomprisingalphabetaandgammaaquilae,"Altair, constellation comprising alpha, beta, and gamma Aquilae",,,
aconstellationcomprisingalphabetagammaanddeltasagitarii,"a constellation comprising alpha, beta, gamma, and delta Sagitarii",,,
anylargefish,any large fish,,,
sweetfreshwater,"sweet, fresh water",,,
whiteseagull,white sea gull,,,
asmallinsect,a small insect,,,
sponge,sponge,,,
periodbetweenseriesoflargewaves,period between series of large waves,,,
magictomakefightersbrave,magic to make fighters brave,,,
stainedyellowish,"stained, yellowish",,,
knowbetterlearnnotto,"know better, learn not to",,,
topofheadfontanel,"top of head, fontanel",,,
hauntedhavingsupernaturalpower,"haunted, having supernatural power",,,
phlegmpuslymphslimefromslugsandfish,"phlegm, pus, lymph, slime from slugs and fish",,,
tobreathe,to breathe,,,
brightlightflashglowluminous,"bright, light, flash, glow, luminous",,,
wrasse,wrasse,,,
thingmatterobjectapersonunnamed,"thing, matter, object; a person, unnamed",,,
heartbreath,"heart, breath",,,
lightinweightblanddelicatemildsubtle,"light in weight, bland, delicate, mild, subtle",,,
smoothsleekslick,"smooth, sleek, slick",,,
smoothsleekslickdistributiveform,"smooth, sleek, slick (distributive form)",,,
toheal,to heal,,,
toforgetbeoblivious,"to forget, be oblivious",,,
playgroundfordemonsnothabitablebypeople,"playground for demons, not habitable by people",,,
fearhorrorafraid,"fear, horror, afraid",,,
thickthickness,"thick, thickness",,,
absentmindedforgetfuloblivious,"absent minded, forgetful, oblivious",,,
emergefromwatercomeintoviewafterhavingbeenhidden,"emerge from water, come into view after having been hidden",,,
veryripeoverripeofbreadfruitonlyphlegmcatarrhsputum,"very ripe, overripe (of breadfruit only), phlegm, catarrh, sputum",,,
beawakestayup,"be awake, stay up",,,
cooledoffoffoodoncehot,cooled off (of food once hot),,,
snapperfish,snapper (fish),,,
livelifeexistencealivecured,"live, life, existence, alive, cured",,,
astingray,a stingray,,,
loiterdistractedbusyoccupied,"loiter, distracted, busy, occupied",,,
aheadbeforeplaceinfrontof,"ahead, before, place in front of",,,
eelintestinalworm,"eel, intestinal worm",,,
intestines,intestines,,,
possessiveclassifierforflowersmedalsnecklacesorfishingbaskets,"possessive classifier for flowers, medals, necklaces, or fishing baskets",,,
necklacewearanecklace,"necklace, wear a necklace",,,
tiredexhausted,"tired, exhausted",,,
hiploinhipof,"hip, loin, hip of",,,
manmalewifesbrother,"man, male, wife's brother",,,
beinmotion,be in motion,,,
begenerousbethankedbegratefulliberalopenhanded,"be generous, be thanked, be grateful, liberal, open-handed",,,
finished,finished,,,
pitchofaboattopitch,"pitch (of a boat), to pitch",,,
childofpossessiveclassifierforchildrenpetsmoneywatchesoronesbible,"child; of, possessive classifier for children, pets, money, watches, or one's Bible",,,
tastesmellflavor,"taste, smell, flavor",,,
secondarylagoon,secondary lagoon,,,
afishlethrinisvariegatus,a fish (_Lethrinis variegatus_),,,
leglegof,"leg, leg of",,,
onesthingtodrink,(one's) thing to drink,,,
clothesclothtodressup,"clothes, cloth; to dress up",,,
containeruseasacontainersheath,"container, use as a container, sheath",,,
containerof,container of,,,
smallyounglittletinypuny,"small, young, little, tiny, puny",,,
babyinfant,"baby, infant",,,
mustytastemoldytaste,"musty taste, moldy taste",,,
feedgivebait,"feed, give bait",,,
smallovenorstovechiefslandformakingfood,"small oven or stove, chiefʻs land for making food",,,
taroresidueforreplantingafteredibleportionhasbeencutoff,taro residue for replanting after edible portion has been cut off,,,
longwindedindivingabletostayunderwaterlong,"long-winded in diving, able to stay under water long",,,
formantinplacenamesblow,(formant in place names) blow,,,
spouse,spouse,,,
coconutfrondmidriboffrond,"coconut frond, midrib of frond",,,
swamp,swamp,,,
goggleeyedscadfish,goggle-eyed scad fish,,,
acloudformation,a cloud formation,,,
habituallydefecateontheground,habitually defecate on the ground,,,
shelfupperstoryofhouseloft,"shelf, upper story (of house), loft",,,
tosweepbrushoffsomething,"to sweep, brush off (something)",,,
sweepbrushoff,"sweep, brush off",,,
bay,bay,,,
looseofclothingorropeflabbyofskinshabbybaggysag,"loose (of clothing or rope), flabby (of skin), shabby, baggy, sag",,,
flatlandofisletofinmanyplacenames,"flat land of, islet of (in many place names)",,,
tobrushoff,to brush off,,,
toshakeoutasamat,to shake out (as a mat),,,
dropofliquiddribbletrickle,"drop of liquid, dribble, trickle",,,
hideobstructcoverconcealblock,"hide, obstruct, cover, conceal, block",,,
slipdownoutofposition,slip down out of position,,,
tobraidofhairorhandleofabasketplait,"to braid (of hair or handle of a basket), plait",,,
atreehernandianymphaeifolia,a tree (_Hernandia nymphaeifolia_),,,
waveofaflagflutter,"wave (of a flag), flutter",,,
aplatformofrocksbuildapileofrocks,"a platform of rocks, build a pile of rocks",,,
sandbank,sandbank,,,
placentaafterbirth,"placenta, afterbirth",,,
discardedpandanuskeyplacenta,"discarded pandanus key, placenta",,,
placeinplacenames,place (in place names),,,
entangleconfusedisordertroublebedlammessedupbaffledjumbledsnarled,"entangle, confuse, disorder, trouble, bedlam, messed up, baffled, jumbled, snarled",,,
bestirredupmesseduptostirdisturb,"be stirred up, messed up, to stir, disturb",,,
boxfish,boxfish,,,
gratedcoconut,grated coconut,,,
smallsproutedcoconuttumorswellingwen,"small, sprouted coconut, tumor, swelling, wen",,,
avarietyofinedibletaro,a variety of inedible taro,,,
branch,branch,,,
southsummer,"south, summer",,,
scoopupscratch,"scoop up, scratch",,,
tobleachpandanusleavesoverafiretodryleavesbyfire,"to bleach pandanus leaves over a fire, to dry leaves by fire",,,
warmoneselfbythefire,warm oneself by the fire,,,
gathermissilesforthrowing,gather missiles for throwing,,,
faultsin,"fault, sin",,,
crosscousin,cross cousin,,,
angryjealousdisappointed,"angry, jealous, disappointed",,,
ebbtide,ebb tide,,,
wakeupawakerousedconscious,"wake up, awake, roused, conscious",,,
broken,broken,,,
breakteardowndemolish,"break, tear down, demolish",,,
whatwhich,"what?, which?",,,
eastwardupward,"eastward, upward",,,
processionofmournersortributebearers,procession of mourners or tribute bearers,,,
probablyaloan,(probably a loan),,,
choicecoconuttreeforcollectingsap,choice coconut tree for collecting sap,,,
bindrollupasalineorfilmonaspool,"bind, roll up (as a line or film on a spool)",,,
stripofreeflongreefbetweentwoislets,"strip of reef, long reef between two islets",,,
sailwuthoutriggeronsouth,sail wuth outrigger on south,,,
sailwuthoutriggeronnorth,sail wuth outrigger on north,,,
longtime,long time,,,
channelpassintoalagoon,"channel, pass into a lagoon",,,
placeforbeachingcanoes,place for beaching canoes,,,
tokneadpreservedbreadfruit,to knead preserved breadfruit,,,
mountainhill,"mountain, hill",,,
pumice,pumice,,,
antaresconstellationtaualphasigmascorpionis,"Antares, constellation tau, alpha, sigma Scorpionis",,,
smallpieces,small pieces,,,
fragmentofcutpieceof,"fragment of, cut piece of",,,
wayofmannerof,"way of, manner of",,,
nexttoclosetonearbeside,"next to, close to, near, beside",,,
bepossessedbyevilspirittopossess,"be possessed (by evil spirit), to possess",,,
digtarotr,dig taro (tr.),,,
bathe,bathe,,,
mendanet,mend a net,,,
distant,distant,,,
todigtaro,to dig taro,,,
nitlarvaeoflice,"nit, larvae of lice",,,
woodshavings,wood shavings,,,
disembarkclimbdown,"disembark, climb down",,,
westward,westward,,,
walktoward,walk toward,,,
possessiveclassifierforcanoesshipsboatsorvehicles,"possessive classifier for canoes, ships, boats, or vehicles",,,
launchingpadrollers,launching pad rollers,,,
crosswise,crosswise,,,
pufferfish,puffer fish,,,
countupsomething,count up (something),,,
countupestimatebycounting,"count up, estimate by counting",,,
tospearstabgiveaninjectionreceiveaninjectionaninjectionorshot,"to spear, stab, give an injection, receive an injection, an injection or shot",,,
stabspeargiveaninjectiontosomeone,"stab, spear, give an injection to (someone)",,,
formshapemannerofhow,"form, shape, manner (of), how",,,
bethereis,"be, there is",,,
penfenceenclosure,"pen, fence, enclosure",,,
alocasiataro,Alocasia taro,,,
smashed,smashed,,,
goaway,go away,,,
behomesick,be homesick,,,
softunripecoconuttenderskinofababy,"soft, unripe coconut, tender skin of a baby",,,
trembleshakequakevibrateshiverchills,"tremble, shake, quake, vibrate, shiver, chills",,,
pulloutofgrounduproot,"pull out of ground, uproot",,,
changetranslateinterpretsomething,"change, translate, interpret (something)",,,
turnturnoverupsetreciprocatetochangetranslateinterpretsomething,"turn, turn over, upset, reciprocate; to change, translate, interpret (something)",,,
toalternatefluctuatebechangingconstantly,"to alternate, fluctuate, be changing constantly",,,
cemeteryhead,cemetery; head,,,
fishscale,fish scale,,,
basebasisrootcausereason,"base, basis, root, cause, reason",,,
flashflame,flash flame,,,
aplantcommoncultivatedhedgegeneraltermforhedgeplantsandflowersthereofwreathofflowers,"a plant (common cultivated hedge), general term for hedge plants and flowers thereof, wreath of flowers",,,
bearmuchfruitormanyflowers,bear much fruit or many flowers,,,
toblowaswind,to blow (as wind),,,
blowonsomething,blow on (something),,,
toboardridegetonembarkmounttoriseofdough,"to board, ride, get on, embark, mount, to rise (of dough)",,,
fatinturtleshellblubber,"fat in turtle shell, blubber",,,
