PPC	*adoola	‘variety of sweet-husked coconut palm’	Chk atoon, ótoon; Pul yótool, yótoolá-(n); Crl atool; Wol atoole; PCk *adoola; Pon adool	Cf. Yap waqthoel, waqtoel, waqtool ‘a type of tree’.		
PPC	*úla[tØ]o	‘butterfly pea (Clerodendron inerme)’	Mrt úló; Pul wuló; Crl uló ‘a plant with bitter tasting leaves used in tea to cure fever’; Stw uló, unó; PCk *úla[tØ]o; Pon and Mok ilaw.	Cf. Mrs wiléj ‘C. i.’; Kir (te)-inoto ‘a tree’. |The Mrs and Kir forms appear related to the others but pose problems as true inherited cognates.		
PPC	*uxo	‘assembled, gathered’	Chk iyoyi ‘be a., assemble’, iyo-(ffeŋeen) ‘be a. together’, iyo-ni ‘assemble it, collect it, bring it together’; Mrt iyoi ‘pile of coconuts’; Pul yiyo-na-a-(ló) ‘to pile (things) up’, iyo-neki-(to) ‘bring together hither, assemble hither’; Crl yéé-lagh ‘assembly, meeting’, yéé-lú ‘to gather or collect (things) together’; Crn úyé-nég ‘assembly, meeting’, yéé-nú ‘to gather or collect (things) together, to pile (things) up’; Wol úyeúye ‘collect, get together, assemble’, úye-li-(i) ‘gather, collect, or assemble them’, úye-lagi ‘be a.’, (tte)-úye ‘meeting, gathering, conference, council, to collect, heap up, gather, bring together’; PuA úyo-ni ‘assemble it’; PCk *úyo, úyoúyo, úyo-ni, úyo-naki; Pon uro-(do) ‘gather palm fronds hither’.	Cf. Mrs hayey ‘gather, collect, pool’; Kir iko-ti ‘a bringing together, engage in bringing together or adding’, iko-ta, ikoiko-ta ‘bring (s.t.) together, collect, gather’ |(a loan from Sam i’o, i’oi’o ‘to wind up or coil rope’?), uu ‘to go in great numbers, to swarm about’; Ksr ik-to-(k) ‘crowded, thronged, full’, ik-to-(ki) ‘crowd, throng, pack, cram’ |(a loan from Kir?); Saa si’o ‘collect, gather’; PEO *qiko. @Cf. also Mrs yejyej ‘build up, erect, pile up, build’; Ksr etoat ‘pile up stones’, yetoe ‘pile up (stones)’.	See also PMc *Toko ‘collect, pile up’.	
PPC	*waa	‘carry it, convey it, transport it’	Chk waa- (with directional suffixes); Crl waa- (with directional suffixes); Pon wa; Mok wa.	Cf. Aro wa-i ‘to bring, c., take (s.t.)’; Kwa gwae, gwae-a ‘c. in the arms’.	Cf. also PMc ? *u[sS]a, u[sS]a-ni, u[sS]a-na ‘cargo, load’, PMc *u-Ti, u-Taki ‘carry’, PMc *wua, wuawua, wua-ti, wua-ta ‘carry, convey, transport’, PMc *waxa1 ‘a frame’.	
PPC	*wairaki	‘difficult, agonizing’	Chk weyires ‘be d., hard to do, be jealous (with wóón)’, (á)-weyiresi ‘make it d.’; Pul wáyeráh ‘d.’; Crl wáires, weires ‘be d. to finish’; Crn weireh ‘be d.’; Wol wairesi ‘be hard to do, d.’; PCk ? *wairaTi; Pon weyrɛk ‘painful, agonizing, torturous’; Mok weirɔk ‘to be in agony’.			Note the h and s in the Pul, Crn, Crl, and Wol forms may indicate that they are loans from a Chk source in which *ki has shifted to si.
PPC	*waiya	‘journey, be foreign’	Crl weey ‘to travel’; Wol waiye ‘voyage, sailing trip, j.’; PuA waia ‘trip, j.’; PCk *waiya; Pon way ‘be f., from abroad’; Mok way ‘f.’			
PPC	*warawara	‘ditch’	Chk warawar, waraware-(n) ‘ditch, d. of’, waraware-e-(y) ‘dig a d. in (s.t.)’; Mrt warawar; Stw warawar, warawara-(l); PCk *warawara; Pon warawar ‘d., trench, grove’; Mok warwar ‘d., groove’; Png (dey)-warɛwar ‘to dig a d.’	Cf. Mrs war ‘lobster lair’; Ksr laf ‘d., trench, dike’.		
PPC	*waTu	‘be hurt, injured’	Chk (é)-wésúwés ‘a form of war magic’; Wol wasú ‘be h., i., wounded’, (ge)-wasú-(ú) ‘h. him, i. him’; PCk *wasú; Pon was ‘obnoxious, discomforting’.	Cf. Saa (sae)-wasu ‘be angry, sulk’ (sae ‘heart, mind’); Aro wasu ‘to smell, stink’, wa’u ‘annoy’, wa’uwa’u ‘restless’.		
PPC	*wau	‘valley’	Chk (éwú)-wé ‘stream, river’ (lit. ‘valley current’); Pon waaw, waw ‘valley’.	Cf. Ksr infæl ‘river, stream, brook’, infælfæl ‘valley’.		Cf. Marck (1994:320) PMc *wao based only on the Pon form.
PPC	*wayi	‘to sneak, do in secret’	Chk weyi-(ŋŋaw) ‘to commit incest’, weyi-(nee-y) ‘do (s.t.) in a hurry, hurry (reflexively)’; Wol wai-tegi ‘to s. out hurriedly and secretly’; PCk *wayi; Pon wayy ‘to s., to prowl’, way-(ne) ‘to s. up to (s.o.)’.			
PPC	*wea, wea-Ti or *waya, waya-Ti	‘open’	Chk wá ‘be o., be opened’, wááwá ‘be roomy, spacious’, wáá-si ‘o., make room for, clear a way for (s.t.)’; Crl wáá-si ‘o. (the way), make room for (more people)’; Crn wáá-hi ‘o. (the way), make room for (more people)’; Wol waa-(ruu) ‘be wide o.’, waawaa ‘be uncovered, be large (of a hole), be o.’; PCk *wea; Pon weewe, weewee ‘opening, its o.’	Cf. PPn *waa ‘interval of space or time’; Saa waa, waawaa ‘empty, hollow, have o. doors, have a hole in’; Bug aa ‘o., to o., o. mouth’; Lau gwaa ‘to be o. (of ears)’; Kwa kwaa ‘o., perforated’. @Cf. Pon warawar ‘ditch, trench, groove’; Aro waga, waga-si ‘to o., as the mouth’.		
PPC	*wolo	‘male person’	Chk wono- ‘fellow (of males only)’, wone-(ey) ‘this f.’, wono(we) ‘that (out of sight) fellow’; Pul wolo- ‘male (with demonstratives)’; Crl olo- ‘man, male, guy’, olo-(we) ‘that m.’; PCk *wolo-; Pon ool ‘man, male’, olɛ-(nɛy) ‘good man’, olo-(odi) ‘widower’; Mok wɔl ‘man’.			
PPC	*wolo-faadi	‘name of a sky god’ (lit. ‘stamping fellow’)	Chk wono-fáát; Wol wolofaati; PCk *wolo-faadi; Pon (luuk) olo-paad		See PPC *wolo ‘male person’, PMc *faa, faa-[sS]i ‘apply the sole of the foot’.	(Hambruch 1926, 2:105)
PPC	*wono-yik[ae]	‘sixty’	Chk wone, wonee-; Pul wone; Crl oleigh; Wol woloige; PuA onoiki; PCk ? *wono-yik[ae]; Pon wenɛ-ɛk.		See PMc *wono- ‘six’ and PPC *-ik[ae] ‘counter for tens’.	
PPC	*woro-	‘throat, neck’	Chk woro-mi ‘to swallow (s.t.)’; Pul woro-mi-(y) ‘to swallow (s.t.)’, woro-n ‘esophagus’; Crl oro-mi, uru-mi ‘to swallow (s.t.)’, oro-(má) ‘illness from having eaten poisoned fish’, oro-ŋ ‘throat’; Wol woro-mi-(i) ‘to swallow it, gulp it down’, woro-ŋe, woro-ŋa-(l) ‘throat, neck, his t.’; PCk *woro-, woro-mi-, woro-ŋa; Pon wɛrɛ ‘his neck’, (kɛpi-n)wɛr ‘throat’; Mok wɔr, wɔrɔ ‘neck, his n.’	Cf. Kwa odo, odo-mi-(a) ‘to swallow’.	Cf. also PWMc *oro ‘be, exist’, PWMc *Toro-mi ‘suck up (s.t.)’.	
PPC	*wumwu	‘fruit cluster’	Chk wumwu-(n) ‘branching stalk of (as stalk of bananas, coral, branching of vegetation’, wumwuumw ‘be many branched, dense, thick (of f. or vegetation)’; Pul wumwuumw ‘be thick (as f. or forest growth), yield heavily’, -wumw ‘bunch or c. of f. (in counting)’; Crl -umw, -wumw ‘bunch or stalk of f. (in counting)’; Wol umwuumwu ‘be bushy, plentiful, have lots of f., have a lot of people’, -umwu ‘stalk or c. of f. (in counting)’; PCk *wumwu, wumwuumwu; Pon -umw ‘counter for yams and bananas’.	Cf. Yap thum ‘classifier for bundle of anything’.	See doublet PMc *wuŋu ‘fruit cluster’.	
PPC	*wunut[ao]	‘be whole, entire’	Chk wunus, wunusa-(n), wunusu-(n) ‘be w., e., full (of moon), w. of him’, (mo)-wunusa-(n), (mo)-wunusu-(n) ‘wholely, entirely, its entirety’; Pul wunuh, wunuhá-(n) ‘w., e., complete, total, w. of’; Crl ulus, ulusu-(n) ‘be complete, w., full (of moon), wholeness of’; PuA unúta-ni ‘entirety of’; PCk *wunut[ao]; Pon unse-k ‘e., w., complete’.	Cf. Mrs wiŋw ‘complete, w.’		
PPon	*cana-k, cana-ki	‘be hung up, to hang (s.t.) up’	Pon tɛnɛ-k, tɛnɛ-ki; Mok sɔnɔ-k, sɔnɔ-ki.		See also PCk *c[ae]ŋaki, cc[ae]ŋaki ‘hang, be suspended’.	
PPon	? *daari	‘be quick, spin’	Pon daar ‘to school (of fish swimming round and round)’; Mok daar ‘fast’, (ka)-daar ‘a wheel’, (ka)-daari-(ek) ‘sail across the wind’.			
PPon	*dira	‘be much, plentiful’	Pon dir ‘be p., overcrowded, filled’; Mok dir ‘be m., many’.	Cf. Kir tia ‘be completed, finished, done’, with which these forms might be cognate.		
PPon	*luurV	‘small sp. of shrimp’	Pon luur; Mok luur ‘kind of s.’	Cf. PEO *luRa ‘kind of s.’ |(Geraghty 1990), which seems to have problems, being based heavily on the Pon and Mok forms.		
PPon	*mici-ki	‘to kiss, make a sucking sound’	Pon mɛti-k, miti-k ‘to k. (s.o.)’; Mok misik ‘to k. (s.o.) on cheek or hand’.	Cf. PEO *midi; PPn *miti ‘suck, lick’.	See also PMc *misi.	
PPon	*mwaaca	‘cleared land, garden’	Pon mwaat ‘clearing, field, plantation, farm’; Mok mwɔs-(wel) ‘vegetable garden’; Png mwɛsɛ-(wɛl) ‘garden, farm’.	Cf. Mrs jemwaden ‘wasteland’.	Cf. also PCk *maada ‘a garden’, PMc *maata, maataata ‘cleared space’.	
PPon	*nee, nee-ki	‘be divided, divide (s.t.)’	Pon nɛ ‘be d., distributed’, nɛɛ-k ‘to d., distribute (s.t.)’; Mok neene ‘to d.’, nee-k ‘to d. (s.t.)’.			
PPon	*ŋala, ŋalaŋala	‘dry (of s.t. normally moist)’	Pon ŋalaŋal; Mok ŋalŋal ‘low tide’.			Marck’s (1994:314) reconstruction of PMc *ŋalu ‘ocean swell, billow’ from this Mok form and Mrs ŋél is open to some question.
PPon	*palia	‘day after tomorrow’	Pon pali; Mok pali.			Except as loans from some undetermined source, these forms cannot be cognate with Geraghty’s (1990) PEO *wari[cz]a ‘two days ago/hence’ (Saa wa’ite and Ula walita ‘d. after t.’; Aro (na) warita ‘long ago, some time ago’; Kwa kwalita ‘three days ago’; Lak uaisa ‘d. after t.’).
PPon	*payipayi	‘sea urchin’	Pon pɛypɛy ‘small black sp. of s.u.’; Mok pɔypɔy.			
PPon	*piici, pici-, pici-i	‘to trick’	Pon piit ‘cheat, lie’, piti-i ‘to t., lie to (s.o.)’; Mok pis ‘to t.’, pisi, pisi-idi ‘to t. (s.o.)’.	Cf. PMP *pidi.		
PPon	*piteki	‘be free, idle’	Pon pisɛk ‘be f., i., unconcerned, untroubled’; Mok pijek ‘be f., available’.			
PPon	*reeV, reV-	‘grass’	Pon rɛɛ; Mok re; PEO *reqi ‘g.’			(Geraghty 1990).
PPon	*riirV, rirV-	‘floating debris’	Pon riir; Mok rir.	Cf. PEO *ruRu ‘disturb water’ |(Geraghty 1990), evidence for which relies heavily on these Pon and Mok forms.		
PPon	*uutV	‘to take one's turn at’	Pon uud, iid; Mok wud.			Geraghty (1990) sees this as a reflex of his PEO *qu[cz]uRi ‘to follow’. Kir iri ‘to go in company’, which he also equates with this, is cognate with Chk fiti (PMc *fiSi) and does not belong in this set.
PPon	*wara	‘neck’	Pon wɛrɛ ‘his n.’; Mok wɔr.			
PCk	*adúadú	‘a plant (Wedelia biflora)’	Chk étúwét; Mrt ɛtiyet; Pul yátiyát; Stw yatiyat; Uli yadyéd |(given as eadeud in Bender et al. 1984).			
PCk	*afakúra	‘child of male clan member’	Chk éfékúr, éfékúre-(n) ‘child of male member of a matrilineal clan or lineage, c. of’; Mrt yafakéra- ‘child of male member of a clan’; Pul yafaakúra- (sic) ‘be a descendent through one's father (of a place)’; Crl afaghúr ‘linkage to a father's matrilineal clan’; Crn afagúr ‘linkage to a father's matrilineal clan’; Stw afakúr ‘child of a male member of a clan’.			This may be an East Chuukic innovation.
PCk	*aki	‘food, goods’	Pul yákiyák, yákiyáki-(n) ‘f., g., f. of’; Crl ághiyágh ‘to wish for f. or g.’; Wol yaagi, yagi- ‘f. gathered for a funeral ceremony’.			
PCk	*aki-, akiaki, aki-i-	‘think, ponder’	Chk áák, eki-(n) ‘thought, idea, his t.’, ekiyek ‘thought, thinking’, ekiyeki-i-(y) ‘t. (s.t.), have (s.t.) in mind’; Pul yákiyák, yekiyek ‘thoughts, plans, t., suppose’, yekiyeki-(y) ‘t. it’; Crl ághiyágh ‘to t.’; Wol yagi-(le) ‘for thought of it, by reason of it, becasue of it’, yagiyegi ‘to t., ponder, consider’, yagi-i-(ye) ‘t. it, p. it, consider it’.	Cf. Pon aaki ‘because of it’.		
PCk	*alaado	‘name of Elato (island and atoll) in Central Carolines’	Chk ónóót; Pul yelóót; Wol yelaato.			
PCk	? *aliali	‘walk’	Chk eniyen ‘walk quickly’; Pul yáliyel ‘to retreat (of fighting chickens)’.	See also Yap yaen ‘to go, walk’.		
PCk	*alle	‘count, enumerate’	Chk ánná-(ya), ánne-(ya) ‘reading, counting, to read, c., e.’, ánná-(yaa-ni), ánne-(yaa-ni) ‘c. it, read it’; Pul yálle-(ya) ‘read, c.’, yálle-(ya-ni) (sic) ‘c. it, read it’, yálle-(y) ‘to think about (s.t.)’; Wol yanne ‘be wise, smart, think’.			
PCk	*aloo	‘speech’	Chk ónoo-(n) ‘s.t. said by (s.o.), s. of (s.o.)’; Pul yaloo-(l) ‘s. of’; Crl alo, aloo-(l) ‘s., talk, words, conversation, s. of’; Wol yaloo ‘s., conversation, lecture’; PuA yano-(la) ‘habit, word, s., act’.			
PCk	*alúalú	‘the three stars in Orion’s belt’	Chk énúwén; Pul yéliyél; Crl elúwel; Wol yelúyelú; PuA yanúyanú ‘a sidereal month equated with October’.	Cf. Mrs jéljél ‘a constellation comprising delta, epsilon, zeta, sigma Orionis and said to mean “stone axe”’ |(jéljél, cf. Chk sene ‘adze’).		
PCk	*ama	‘to know, be familiar with s.t.’	Chk amaam ‘k. s.t. but not admit it’; Wol yame ‘to k., get accustomed to s.t., be familiar with s.t.’			
PCk	*amaama, li-amaama	‘to pine, regret, feel sorrow’	Chk amaam ‘know s.t. but not admit it’, ni-yamaam ‘regret, repent, be sorry’; Crl li-amaam ‘to have pity or feel sorry for s.o.’; Wol li-yemaame ‘to long for s.t., be love sick, pine with love, be lonely’.			
PCk	*apa	‘diaper’	Chk aap, apa-(n) ‘d., cloth a baby sleeps on, its c.’; Mrt #eep, epa-(n) ‘d., his d.’; Pul yaap ‘cloth a baby sleeps on, d.’; Crl aap, apa-(l) ‘small, soft mat or cloth used for babies, d.’; Stw #yeep; Wol #yeepe, yepe- ‘a baby's mat’.			Note our assumption that the Mrt, Stw, and Wol independent forms are secondary formations from the bound form with possessive suffix, which would be the one in most common use. Cf. also PMc *kapa ‘bundle of s.t.’ It is possible to see a semantic connection between rolled up mats, bundles, bundles of grass put between babies’ legs for waste management, the rolling up of woven cloth on the loom-beam, and the cloth itself, especially that of a kind used for babies’ waste disposal.
PCk	*api	‘carry, transport’	Chk ep, ekkep ‘make more than one carrying trip’, epi-i-(y) ‘repeatedly c. it, haul it’, epi-i-(ya)- ‘large quantity of things needing to be carried in more than one trip’, (kká)-áp ‘repeated carrying, hauling’, (á)ápiyep ‘c. repeatedly in many trips’, (á)-áp ‘c. things’ (lit. ‘cause carrying’); Pul ápi-(y) ‘c. it’, (á)-áp ‘to c.’, ápiyáp ‘to c.’; Wol yaapi, yapi ‘frequent trip’, yapiyepi ‘to repeat, keep calling, reiterate’, yapi-(weú) ‘to go out once again’, (ga)-apiyepi ‘to c. repeatedly or continually’; PuA yapi ‘to repeat’.		Cf. PMc *afi, afi-Si- ‘carry on the hip or under the arm’.	
PCk	*aremauti	‘star Arcturus’	Chk óromwoy ‘a s. (probably A.), name of a sidereal month’; Mrt aromoy; Pul yoromooy ‘a s., a sidereal month’; Crl aremwoy ‘A., a sidereal month’; Stw áremaus; Wol yaremooi; PuA yalamaúdi ‘a sidereal month equated with February’; Sns elemaud.			
PCk	*ari, ariari	‘stripe, be striped’	Chk eri- ‘s., line (in cpds. only)’, eri-i-(y) ‘make lines or stripes on it’, (á)-áriyer ‘stripes, lines, be s. or lined’; Pul yáár ‘s.’, yári-(y) ‘put stripes on’, yáriyer ‘s., to have stripes’; Wol (ga)-ariyeri ‘to be s., a s. wrap-around skirt’, (ga)-ariyeri-i-(ye) ‘make it have stripes’.			
PCk	*aro	‘a tree (Premna integrifolia)’	Chk (ni)-yóór, #-yóóre-(n), #-yóóru-(n); Pul yóór ‘a common t. (possibly P. corymbosa)’; Crl (li)-yóór, (li)-yar ‘P. obtusifolia’; Wol yaaro, yaro‘P. t.’; Uli yaar ‘kind of t.’	Cf. Yap qaar ‘kind of t.’, |said to be a loan from Uli.		
PCk	? *aú-	‘k. of fish’	Chk éwú-(wé) ‘sp. of snapper fish’; Pul yayéwú-(wé) (sic) ‘snapper f.’; Crl ai-we ‘sp. of white f. similar to snapper’; Crn ayú-(tor) ‘mullet’; Wol yaúyeú k. of f.’	Cf. Mrs yewahyey ‘a snapper f.’		
PCk	*caapaapa	‘flattened’	Chk chaapaap, pachchaach ‘be crushed, f., be very low’; Crl shaapaap ‘be very flat’; Crn Raapaap ‘be very flat’; Wol shaapaape ‘become flat, flat’.	See PMP *da-.		
PCk	*cai	‘counter for animates’	Mrt -shay ‘counter for humans and animates’; Pul Ray; Crl -sháy ‘counter for animates when fewer than four’; Crn -Ray ‘counter for animates when fewer than four’.	Cf. Pon tey ‘other (functions like an ordinal numeral)’.		
PCk	*caka-i-, ccaka-i-	‘chase, pursue’	Chk chee-(y), chche-(y) ‘c. it’; Crl tche ‘to be in pursuit’, shee-(y), tchee-(y) ‘c. it’; Crn Ree-(y) ‘c. it, p. it’, Reg ‘to rush, hurry (in a specific direction)’; Wol shage-e-(ye) ‘c. it’, chchage ‘to c., p.’		Cf. PCk *ceeri ‘go and get (s.t.)’.	
PCk	*cakú	‘just, only’	Chk chék; Pul Ra, Rak; Crl shag; Crn Rag; Wol shagú; PuA sakú.	Cf. Pon -tɛ; Mrs déy.		
PCk	*caŋi	‘to warm oneself’	Pul RáŋiRáŋ ‘to w. oneself (as at a fire)’, Ráŋi-i-(y) ‘to w. (oneself)’; Wol chchaŋi ‘to get warmed up (as at a fire)’.		Cf. PMc *raŋi, raŋiraŋi ‘be warmed’.	
PCk	*cao, cao-ŋi	‘press down’	Pul Róó-ŋi-(y) ‘to massage, weigh, p. d.’, RóóRó-ŋ (sic) ‘be weighed or pressed d.’; Crl shóó-ŋi ‘to weight (s.t.) d. so as to keep it from being lost or scattered’, shóóshó ‘weight that is placed on paper or other light material to hold it in place’; Crn Róó-ŋi, RóóRó; Wol shóó-ŋi-(i) ‘p. it, give him a massage’, shóó-ŋ-agi ‘be pressed, flattened, squeezed’, shóóshóó ‘load, burden, be loaded, packed, p., give a massage to’, shóóshóó-(a) ‘massage him’.			
PCk	*cao-ni-imwa	‘household member’	Chk chóó-n imwa-(n) ‘m. of his h. or family’; Pul Róónimw (sic) ‘wife, husband, spouse’; Crl shóó-li-imw ‘spouse, wife, husband’; Wol shóó-liimwe ‘members of the house’.		See PCMc *cao ‘group, group member’, PMc *imwa ‘house’.	
PCk	*cao-pwuda	‘woman’	Chk chóó-pwut, -pwute-(n) ‘w., w. of’; Mrt shóó-bwut; Pul Róó-pwut ‘older w.’; Crl shóó-bwut; Crn Róó-bwut; Stw Róó-pwut; Wol shóó-buto ‘w. forty to fifty years of age’.		See PCMc *cao ‘group, group member’, PCMc *pwusa, pwusa-ka ‘bad, improper’.	
PCk	*cappa	‘be turned face down’	Chk chaap, chappa- ‘f. d.’; Pul Rapp ‘be upset, capszied, t. over’; Crl shapp ‘to capsize’, shappe-(tiw) ‘turn f. d.’; Crn Rapp ‘capsize’, Rappe(tiw) ‘turn f. d.’; Wol shappe ‘capsized, t. upside down’.			The PCk form is to be understood as from an older *ca-papa (see PCMc *ca- ‘state of being’).
PCk	*capwu	‘make a loud noise’	Chk chopw ‘make a sudden sharp sound’, chopwu-(nap) ‘thunder, boom, loud detonation’; Pul Rópw, Rópwu- ‘sound of explosion, explode, pop’; Wol chchabu ‘make a bang, a loud sudden noise’.	Cf. Pon tapwur ‘to roll (often of heavy objects)’; Mok sapwor ‘roll’.		
PCk	*caúcaú	‘to massage (after a fall or bruise)’	Pul RééRé; Crl shééshé ‘m.’, shéé-gi ‘to m. (s.o.)’; Wol shééshéé; PuA saúsaú.		Cf. PMc ? *ma-caucau ‘soft’.	Possibly refers to the application of leaves in massage (see PMc *cau ‘leaf’). 
PCk	*ccaŋa	‘to reach out’	Crl tchaŋ ‘r. for s.t. and obtain it’, tchaŋi-to ‘r. hither’; Wol chchaŋe ‘r. out for without touching, be short of, be greedy for food’, chchaŋe-eti-(i) ‘r. out for (s.t.)’.			
PCk	*ccara1	‘sea creature’	Chk chchar ‘starfish’; Pul chchaar ‘a common edible sea urchin’; Wol (li)-share ‘a kind of sea creature’.			
PCk	*ccara2	‘exact, tight’	Chk -chchar ‘very, extremely’, (wene)-chchar ‘be straight, perfectly straight’; Pul ccar ‘be taut, tight’, (wene)-chchar ‘be direct, exact’; Wol chchare ‘be taut, straight’.			
PCk	*ccinialo	‘name of Tinian Island, Mariana Islands’	Chk chchiniyón; Pul cciniyól; Crl tchiliyól; Crn tchiniyól; Wol chchiliyalo.			
PCk	? *cciŋi, ciŋiciŋi	‘a light noise’	Crl tchiŋ, tchiŋi-(l) ‘snapping, cracking, or squeaking n., n. of’; Wol chchiŋi ‘a light kind of sound, a light n.’, shiŋishiŋi, shiŋishiŋi-(li) ‘n. (as of a typewriter), n. of’.			
PCk	? *ccoki	‘be wet’	Crl tchogh ‘be saturated, soaked, wet’; Wol chchogi ‘be wet’, (ga)chchogi-(i) ‘make it wet’.	Cf. Saa dodo ‘to sink, drown’.		
PCk	*cee	‘connecting braces on outrigger’	Chk chee-(nee-yamw) ‘stringer from outrigger boom to outrigger stanchion on a canoe’; Wol shee ‘outrigger float braces of a canoe’.	Cf. Kir (te)-rai ‘plank, board’.		
PCk	*ceeri	‘go and get (s.t.)’	Chk cheeri ‘go after it, fetch it’; Pul Reer ‘to fetch and get’; Crl sheeri ‘to chase, pursue and catch (s.t.), to run away with or steal (s.t.)’; Wol sheeri-(i) ‘attack it, assault it, charge it’.	Cf. Pon taar ‘attack in a hit and run fashion’. 	Cf. also PCk *cakai-, ccaka-i- ‘chase, pursue’.	
PCk	*c[ae]ŋaki, cc[ae]ŋaki	‘hang, be suspended’	Chk (á)-chcheŋes ‘offering of goods to a benign spirit’ (the offering was hung up on a hanging shrine); Crl tcheŋág ‘to hang from s.t. (as baskets on wall hooks)’; Crn tchéŋég ‘to hang from s.t. (as baskets on wall hooks)’; Wol chcheŋagi ‘to hang’, chchechcheŋagi ‘to be hanging’, sheŋagi-li-(i) ‘to hang it up, hook it up’; PuA saŋaki ‘to be hanging, to hang it’.	See also PPon *cene-k, cene-ki ‘be hung up, to hang (s.t.) up’; Kir reŋereŋe ‘long or extending as a branch’.		
PCk	*ceŋú, cceŋú	‘vibration’	Chk chchúŋ ‘be shaken, jarred’, (é)-chúŋúchúŋ ‘cause a v.’; Wol chcheŋú ‘to grunt, breathe forcefully (as in delivering a child)’.	Cf. Chk chúŋŋaw (?<*chúŋú-ŋŋaw) ‘mean practical joke’.		
PCk	*cééú	‘continuously widespread’	Chk chééw ‘continuous, uninterrupted, featureless, unbroken, be w., be common (of knowledge)’, chééwú-(fátán) ‘be well known, w.’, chééwi-(iti) ‘spread to it’; Pul Rééwú (sic), Rééwú-ló ‘be well known, w., common, widely practiced’; Wol shééú ‘spread, scatter all over an area’.		See PMc *ca-.	
PCk	*ciaa	‘mangrove tree’	Chk chiya; Pul Riiya; Crl shiiya; Crn Riiya; Wol shiyaa.			
PCk	*cife, cife-di	‘lift with the hands, make erect’	Chk chif, chchif, chifichif ‘prod female genitals with the penis’, chifi-ti ‘prod her’; Crl tchif ‘erection of the penis’; Wol shifeshife ‘to l. with the h., raise’, shife-ti-(i) ‘l. it with the h.’, chchife ‘be straight, stiff, taut (of rope)’, (ga)chchifa-(a) ‘make it taut’.			Note also Pon tip ‘be full after eating (honorific)’.
PCk	*cii, cii-ri	‘drip, sprinkle’	Chk chiichi ‘dripping, sprinkling (of rain)’, (e)-chchii-(y) ‘s. it’, -chchi ‘drop (in counting)’; Pul RiiRii-(tiw) ‘to s.’, cii-(tiw) (sic) ‘to d. (as rain)’; Crl tchi ‘d. down (of liquids)’; Wol shiishii ‘to wet, moisten, wash’, (ga)-shii-shii ‘to dip’, shii-ri-(i) ‘to put it in water’, shii-ra-(gi) ‘be wet, moistened’; PuA sisi (sic) ‘to wash clothes’, si-li (sic) ‘to wash it’.	Cf. Kwa gui ‘wet’.	See also PCk *kacii ‘palm toddy’.	
PCk	*ciicii	‘a fern (Polypodium)’	Chk chiichi ‘a f. (P. or Phymotodes)’; Mrt shiishi; Pul RiiRi; Crl shiishi ‘oak-leaf f. (P. scolopendria)’; Crn RiiRi; Stw RiiRi; Wol shii-shii.			
PCk	*cikara	‘recovered, abated (of illness, weather)’	Chk chikar, chikare- ‘be clear (of weather), subside (of wind), recover (from illness), a cure or antidote’, (e)-chikara ‘wait for it to clear (of weather)’; Pul Rikaar (sic) ‘be clear (of weather), be cured (of illness)’; Crl shighar ‘be cool after a hot day, recover from a difficult pregnancy, to have passed the crisis of a serious illness’; Crn Rigar ‘be cool after a hot day, recover from a difficult pregnancy, to have passed the crisis of a serious illness’; Wol shigare ‘be calm, mild, abated, (ga)-shigera-(a) ‘let it be calm, make it peaceful’.			
PCk	*cike	‘weary, sleepy’	Chk (e)-chikichik ‘be blinking one's eyes in weariness, be sleepy’, (e)-chiki ‘to blink them’, (e)-chchik ‘to wink’; Pul (yá)-Rik, (yá)-RikáRik ‘be tired, weak, bored’, (yá)-rika-(a-ló) ‘to blink them, wink them, half close them (of eyes)’; Crl (a)schiga, (a)-shighishigh, (a)-shighi-(mas) ‘tire oneself out, be tired or exhausted, to blink or wink one's eye’; Crn (a)-Riga, (a)-RigiRig, (a)-Rigi-(mah) ‘tire oneself out, be tired or exhausted, to blink or wink one's eye’; Wol shigeshige ‘be tired, exhausted’, (ga)-shigeshige ‘get tired, take trouble’.	Cf. Pon kɛtikɛt ‘be numb, asleep (of a leg)’.		
PCk	*ciŋi	‘be speedy, fast’	Chk chchin ‘be hurried, speedy, fast (normally in reference to speech)’, (e)-chchini ‘to speed or hurry (one's speech)’; Pul RiŋeRiŋ ‘to be fast (as speech), to do constantly’; Crl shiŋeshiŋ ‘be exceptionally fast, quick, rapid (in doing work)’; Crn RiŋiRiŋ ‘be exceptionally fast, quick, rapid (in doing work)’.			
PCk	*cior[ao]	‘choke, throat’	Chk chiyor, chiyora-(n) ‘t., his t.’; Crl shiyor ‘to c.’; Crn Riyor ‘to c.’; Wol shiyoro ‘be stuck in the t.’			
PCk	*ciwa-ni	‘still, yet’	Chk chchiwe-n, chchiwe-yi-; Pul Rúwa-n, Rúwa-y; Wol chchúwe-li, shúwe-li ; PuA sú, súwe-ni.			
PCk	*colo	‘to gossip about sex’	Chk chon, chochchon (<*chonochon) ‘g. about members of the opposite sex’, chona ‘to g. about him/her’, chona-(n) ‘g. about him/her’, chona-a-(n) ‘g. about s.o. by him/her’; Crl shool, tchool ‘coversation among persons of same sex about persons of the opposite sex’; Crn Roll; Wol sholo ‘to talk about girls’, sholo-o-(e) ‘to talk about her’.			
